#Label	QB_ATT	RB_ATT	WR_ATT	K_ATT
0	205	22	0	0
1	1	39	5	0
1	0	96	14	0
1	0	75	14	0
2	0	0	49	0
0	227	11	0	0
2	0	0	15	0
2	0	2	25	0
3	0	0	0	31
3	0	0	0	25
1	0	14	6	0
1	0	97	9	0
2	0	0	29	0
3	0	0	0	30
0	201	16	0	0
1	0	23	2	0
2	0	1	30	0
2	0	1	28	0
1	0	75	18	0
2	0	1	24	0
2	0	1	42	0
3	0	0	0	36
0	210	33	0	0
1	0	113	21	0
2	1	1	33	0
2	0	0	36	0
1	0	16	13	0
2	0	4	27	0
2	0	1	19	0
3	0	0	0	29
3	0	0	0	24
0	213	63	0	0
1	0	61	15	0
1	0	41	9	0
2	0	0	42	0
2	0	0	26	0
0	203	16	0	0
1	0	27	2	0
2	0	1	38	0
2	0	0	36	0
3	0	0	0	2
1	0	63	5	0
1	0	34	21	0
2	0	1	22	0
0	232	14	0	0
1	0	24	17	0
2	0	1	50	0
2	0	0	30	0
3	0	0	0	15
3	0	0	0	22
0	173	60	0	0
1	0	37	10	0
1	0	66	13	0
2	0	0	32	0
2	0	8	21	0
3	0	0	0	26
3	0	0	0	20
0	17	3	0	0
0	3	24	11	0
1	0	52	23	0
2	0	0	31	0
1	0	8	1	0
2	1	0	26	0
3	0	0	0	19
1	0	22	5	0
2	0	0	22	0
0	162	25	0	0
1	0	110	23	0
2	0	0	32	0
1	0	20	3	0
3	0	0	0	22
2	0	18	20	0
1	0	18	3	0
2	0	0	25	0
1	0	51	10	0
1	0	94	6	0
3	0	0	0	22
0	151	38	0	0
1	0	53	13	0
1	0	34	10	0
2	0	2	22	0
0	158	12	0	0
0	200	11	0	0
2	0	0	39	0
1	0	107	25	0
2	0	0	28	0
1	0	30	8	0
1	0	58	2	0
2	0	1	19	0
3	0	0	0	20
3	0	0	0	19
0	162	18	0	0
1	0	64	3	0
2	0	0	21	0
0	235	10	0	0
1	0	39	9	0
1	0	82	18	0
2	0	0	36	0
2	0	1	49	0
3	0	0	0	23
0	224	29	0	0
1	0	87	17	0
1	0	30	6	0
2	0	0	36	0
2	0	0	24	0
3	0	0	0	29
3	0	0	0	21
1	0	70	16	0
2	0	0	24	0
2	1	0	27	0
0	190	19	0	0
1	0	49	13	0
1	0	96	25	0
0	185	22	0	0
1	0	48	11	0
2	0	0	20	0
2	0	0	25	0
1	0	3	1	0
2	0	0	22	0
2	0	0	23	0
3	0	0	0	28
3	0	0	0	26
1	0	21	4	0
1	0	13	5	0
1	0	24	3	0
1	0	83	11	0
0	147	18	0	0
1	0	6	0	0
1	0	75	6	0
0	5	3	0	0
3	0	0	0	17
1	0	21	1	0
0	58	3	0	0
1	0	31	7	0
0	182	19	0	0
0	159	16	0	0
2	0	11	15	0
0	18	0	0	0
0	10	3	0	0
1	0	3	1	0
1	0	77	11	0
0	163	15	0	0
1	0	13	0	0
1	0	22	3	0
2	0	0	27	0
1	0	5	1	0
1	0	72	3	0
0	138	6	0	0
2	0	0	9	0
1	0	15	1	0
1	0	97	13	0
1	0	9	1	0
0	102	15	0	0
1	0	67	12	0
1	0	11	5	0
0	203	20	1	0
2	0	0	29	0
1	0	15	2	0
0	214	19	0	0
0	84	25	0	0
2	0	0	28	0
0	213	18	1	0
2	0	4	19	0
2	0	6	35	0
1	0	31	15	0
3	0	0	0	26
3	0	0	0	34
0	182	8	0	0
1	0	80	26	0
3	0	0	0	16
3	0	0	0	17
1	0	29	9	0
2	0	2	50	0
1	0	23	6	0
1	0	28	5	0
1	0	20	5	0
3	0	0	0	29
1	0	4	2	0
1	0	38	9	0
1	0	24	7	0
1	0	15	0	0
0	5	2	0	0
0	39	3	0	0
0	6	1	0	0
0	14	2	0	0
1	0	4	0	0
