#Label	QB_ATT	RB_ATT	WR_ATT	K_ATT
1	0	33	5	0
2	0	0	40	0
1	0	78	17	0
2	0	0	25	0
0	197	14	0	0
3	0	0	0	24
2	0	0	31	0
2	0	0	28	0
1	0	86	23	0
3	0	0	0	32
0	5	0	0	0
1	0	96	16	0
2	0	1	24	0
2	0	0	32	0
3	0	0	0	21
1	0	28	4	0
1	0	54	13	0
0	162	47	0	0
2	0	2	25	0
1	2	98	11	0
3	0	0	0	18
0	182	26	1	0
2	1	2	42	0
1	0	14	3	0
1	0	68	8	0
2	0	1	29	0
2	0	3	34	0
3	0	0	0	32
1	0	13	3	0
0	164	12	1	0
1	0	9	5	0
1	0	8	2	0
0	51	9	0	0
0	34	3	0	0
2	0	0	16	0
3	0	0	0	22
1	0	13	4	0
1	0	12	6	0
1	0	39	14	0
0	196	34	0	0
2	0	3	26	0
1	0	25	11	0
1	0	16	7	0
0	36	4	0	0
1	0	13	1	0
